iter	Passed	Remaining
387	566	893
388	567	891
389	569	890
390	570	888
391	571	886
392	572	884
393	574	882
394	575	881
395	576	879
396	577	877
397	579	876
398	580	874
399	582	873
400	583	871
401	584	870
402	586	868
403	587	867
404	589	865
405	590	864
406	592	862
407	593	860
408	594	859
409	596	858
410	597	856
411	598	854
412	599	852
413	601	850
414	602	849
415	603	847
416	604	845
417	606	843
418	607	842
419	608	840
420	609	838
421	611	837
422	612	835
423	613	833
424	614	831
425	616	830
426	617	828
427	618	826
428	619	824
429	620	822
430	622	821
431	623	819
432	624	817
433	626	816
434	627	814
435	628	813
436	629	811
437	630	809
438	632	807
439	633	806
440	634	804
441	636	803
442	637	801
443	638	799
444	639	797
445	640	796
446	642	795
447	644	793
448	645	792
449	646	790
450	647	788
451	649	787
452	650	785
453	651	783
454	652	781
455	653	779
456	655	778
457	656	776
458	657	774
459	658	773
460	660	771
461	661	770
462	662	768
463	663	766
464	665	765
465	666	763
466	667	762
467	669	761
468	670	759
469	672	758
470	673	756
471	675	755
472	676	753
473	678	752
474	679	751
475	681	750
476	683	749
477	685	748
478	686	747
479	688	745
480	690	744
481	691	743
482	692	741
483	694	740
484	696	739
485	697	737
486	698	736
487	700	735
488	702	734
489	704	732
490	705	731
491	707	730
492	708	729
493	710	727
494	711	726
495	713	724
496	714	723
497	716	722
498	717	720
499	718	718
500	720	717
501	721	716
502	723	714
503	724	712
504	725	711
505	727	709
506	728	708
507	730	707
508	731	705
509	732	703
510	734	702
511	735	701
512	737	699
513	738	698
514	739	696
515	741	695
516	742	694
517	744	692
518	745	691
519	747	689
520	748	688
521	749	686
522	751	685
523	752	683
524	753	682
525	754	680
526	756	678
527	757	677
528	758	675
529	760	674
530	761	672
531	762	670
532	763	669
533	765	667
534	766	666
535	767	664
536	769	663
537	770	661
538	771	659
539	773	658
540	774	657
541	775	655
542	777	654
543	778	652
544	779	651
545	781	649
546	782	648
547	784	646
548	785	645
549	787	644
550	788	642
551	789	641
552	791	639
553	792	637
554	793	636
555	794	634
556	795	632
557	796	631
558	798	630
559	800	628
560	801	627
561	802	625
562	803	623
563	805	622
564	806	620
565	807	619
566	808	617
567	810	616
568	811	614
569	812	613
570	813	611
571	815	610
572	816	608
573	818	607
574	819	605
575	820	604
576	821	602
577	822	600
578	824	599
579	825	597
580	826	596
581	827	594
582	828	592
583	830	591
584	831	589
585	832	588
586	834	586
587	835	585
588	836	583
589	838	582
590	839	580
591	840	579
592	841	577
593	842	576
594	844	574
595	845	573
596	847	571
597	848	570
598	849	568
599	851	567
600	852	566
601	853	564
602	855	563
603	856	561
604	858	560
605	859	558
606	861	557
607	862	555
608	864	554
609	865	553
610	866	551
611	867	550
612	869	548
613	870	547
614	871	545
615	873	544
616	874	542
617	875	541
618	877	540
619	879	538
620	880	537
621	881	535
622	883	534
623	885	533
624	886	531
625	887	530
626	888	528
627	890	527
628	892	526
629	894	525
630	895	523
631	897	522
632	898	521
633	900	519
634	901	518
635	903	517
636	905	516
637	906	514
638	909	513
639	910	512
640	913	511
641	914	510
642	916	509
643	918	507
644	920	506
645	921	505
646	924	504
647	925	502
648	926	501
649	928	500
650	930	498
651	931	497
652	933	495
653	935	494
654	936	493
655	938	491
656	939	490
657	941	489
658	943	488
659	944	486
660	946	485
661	947	483
662	949	482
663	951	481
664	952	480
665	955	479
666	956	477
667	958	476
668	959	474
669	961	473
670	963	472
671	964	470
672	966	469
673	968	468
674	969	466
675	971	465
676	972	464
677	974	462
678	976	461
679	978	460
680	979	458
681	981	457
682	983	456
683	984	454
684	986	453
685	988	452
686	992	452
687	994	451
688	996	449
689	997	448
690	998	446
691	1000	445
692	1002	444
693	1004	442
694	1005	441
695	1007	440
696	1022	444
697	1023	442
698	1024	441
699	1026	439
700	1028	438
701	1029	437
702	1031	435
703	1032	434
704	1034	432
705	1036	431
706	1037	429
707	1038	428
708	1040	427
709	1042	425
710	1043	424
711	1045	422
712	1046	421
713	1048	420
714	1050	418
715	1051	417
716	1053	415
717	1055	414
718	1056	413
719	1058	411
720	1060	410
721	1061	408
722	1062	407
723	1064	405
724	1067	404
725	1068	403
726	1069	401
727	1071	400
728	1072	398
729	1074	397
730	1075	395
731	1076	394
732	1077	392
733	1079	391
734	1095	394
735	1096	393
736	1098	391
737	1099	390
738	1101	388
739	1102	387
740	1103	385
741	1104	384
742	1106	382
743	1107	381
744	1109	379
745	1110	378
746	1111	376
747	1113	374
748	1114	373
749	1115	371
750	1116	370
751	1117	368
752	1119	367
753	1120	365
754	1121	363
755	1122	362
756	1123	360
757	1125	359
758	1126	357
759	1128	356
760	1129	354
761	1130	353
762	1132	351
763	1133	350
764	1134	348
765	1136	347
766	1137	345
767	1139	344
768	1140	342
769	1141	341
770	1143	339
771	1145	338
772	1146	336
773	1147	335
774	1148	333
775	1149	331
776	1151	330
777	1152	328
778	1153	327
779	1154	325
780	1155	324
781	1157	322
782	1158	321
783	1159	319
784	1160	317
785	1162	316
786	1163	314
787	1164	313
788	1166	311
789	1167	310
790	1168	308
791	1169	307
792	1171	305
793	1172	304
794	1174	302
795	1175	301
796	1176	299
797	1178	298
798	1179	296
799	1180	295
800	1181	293
801	1183	292
802	1184	290
803	1185	289
804	1186	287
805	1188	285
806	1189	284
807	1191	283
808	1192	281
809	1193	279
810	1194	278
811	1195	276
812	1197	275
813	1198	273
814	1199	272
815	1201	270
816	1202	269
817	1203	267
818	1205	266
819	1206	264
820	1207	263
821	1208	261
822	1210	260
823	1212	258
824	1213	257
825	1214	255
826	1215	254
827	1217	252
828	1218	251
829	1219	249
830	1220	248
831	1222	246
832	1223	245
833	1225	243
834	1226	242
835	1227	240
836	1228	239
837	1230	237
838	1231	236
839	1232	234
840	1234	233
841	1235	231
842	1236	230
843	1237	228
844	1239	227
845	1240	225
846	1241	224
847	1243	222
848	1244	221
849	1245	219
850	1247	218
851	1248	216
852	1249	215
853	1250	213
854	1251	212
855	1253	210
856	1254	209
857	1255	207
858	1257	206
859	1258	204
860	1259	203
861	1260	201
862	1261	200
863	1263	198
864	1264	197
865	1265	195
866	1266	194
867	1268	192
868	1269	191
869	1286	192
870	1288	190
871	1289	189
872	1291	187
873	1292	186
874	1293	184
875	1295	183
876	1296	181
877	1297	180
878	1299	178
879	1300	177
880	1301	175
881	1302	174
882	1304	172
883	1305	171
884	1306	169
885	1307	168
886	1309	166
887	1310	165
888	1311	163
889	1312	162
890	1314	160
891	1315	159
892	1316	157
893	1317	156
894	1319	154
895	1320	153
896	1321	151
897	1330	151
898	1331	149
899	1332	148
900	1334	146
901	1335	145
902	1337	143
903	1338	142
904	1339	140
905	1340	139
906	1341	137
907	1343	136
908	1344	134
909	1345	133
910	1347	131
911	1348	130
912	1349	128
913	1351	127
914	1352	125
915	1353	124
916	1354	122
917	1355	121
918	1357	119
919	1358	118
920	1359	116
921	1361	115
922	1363	113
923	1364	112
924	1365	110
925	1367	109
926	1368	107
927	1369	106
928	1371	104
929	1372	103
930	1373	101
931	1374	100
932	1376	98
933	1377	97
934	1378	95
935	1379	94
936	1381	92
937	1382	91
938	1383	89
939	1384	88
940	1386	86
941	1387	85
942	1388	83
943	1390	82
944	1391	80
945	1392	79
946	1393	78
947	1395	76
948	1396	75
949	1398	73
950	1399	72
951	1401	70
952	1402	69
953	1403	67
954	1405	66
955	1406	64
956	1407	63
957	1409	61
958	1410	60
959	1411	58
960	1412	57
961	1414	55
962	1415	54
963	1417	52
964	1418	51
965	1419	49
966	1420	48
967	1422	47
968	1423	45
969	1424	44
970	1425	42
971	1426	41
972	1428	39
973	1429	38
974	1431	36
975	1432	35
976	1433	33
977	1435	32
978	1436	30
979	1437	29
980	1438	27
981	1440	26
982	1441	24
983	1442	23
984	1443	21
985	1445	20
986	1446	19
987	1447	17
988	1449	16
989	1450	14
990	1451	13
991	1452	11
992	1454	10
993	1455	8
994	1456	7
995	1457	5
996	1459	4
997	1460	2
998	1462	1
999	1463	0
